dateTime, DO
Nov 19 2020 15:28:42,8.95


Nov 19 2020 15:29:43,6.09


Nov 19 2020 15:30:45,5.04


Nov 19 2020 15:31:46,4.50


Nov 19 2020 15:32:48,4.16


Nov 19 2020 15:33:49,3.96


Nov 19 2020 15:34:51,3.84


Nov 19 2020 15:35:52,3.76


Nov 19 2020 15:36:54,3.71


Nov 19 2020 15:37:55,3.68


Nov 19 2020 15:38:57,3.67


Nov 19 2020 15:39:58,3.66


Nov 19 2020 15:41:00,3.65


Nov 19 2020 15:42:01,3.65


Nov 19 2020 15:43:03,3.63


Nov 19 2020 15:44:04,3.63


Nov 19 2020 15:45:06,3.62


Nov 19 2020 15:46:07,3.63


Nov 19 2020 15:47:09,3.63


Nov 19 2020 15:48:10,3.64


Nov 19 2020 15:49:12,3.63


Nov 19 2020 15:50:13,3.63


Nov 19 2020 15:51:15,3.63


Nov 19 2020 15:52:16,3.61


Nov 19 2020 15:53:18,3.59


Nov 19 2020 15:54:19,3.60


