date, s2, s1
Thu Jan 28 16:50:44 2021,6.821,6.457

Thu Jan 28 16:51:26 2021,6.822,6.454

Thu Jan 28 16:52:09 2021,6.821,6.455

Thu Jan 28 16:52:52 2021,6.820,6.452

Thu Jan 28 16:53:35 2021,6.821,6.453

Thu Jan 28 16:54:18 2021,6.823,6.455

Thu Jan 28 16:55:01 2021,6.824,6.456

Thu Jan 28 16:55:44 2021,6.824,6.458

Thu Jan 28 16:56:27 2021,6.826,6.459

Thu Jan 28 16:57:10 2021,6.825,6.458

Thu Jan 28 16:57:53 2021,6.824,6.462

Thu Jan 28 16:58:36 2021,6.826,6.458

Thu Jan 28 16:59:18 2021,6.825,6.458

Thu Jan 28 17:00:01 2021,6.826,6.461

Thu Jan 28 17:00:44 2021,6.827,6.461

Thu Jan 28 17:01:27 2021,6.826,6.459

Thu Jan 28 17:02:10 2021,6.826,6.460

Thu Jan 28 17:02:53 2021,6.827,6.461

Thu Jan 28 17:03:36 2021,6.826,6.461

Thu Jan 28 17:04:19 2021,6.826,6.456

Thu Jan 28 17:05:02 2021,6.826,6.456

Thu Jan 28 17:05:45 2021,6.826,6.455

Thu Jan 28 17:06:28 2021,6.826,6.458

Thu Jan 28 17:07:10 2021,6.828,6.461

Thu Jan 28 17:07:53 2021,6.827,6.460

Thu Jan 28 17:08:36 2021,6.824,6.459

Thu Jan 28 17:09:19 2021,6.825,6.464

Thu Jan 28 17:10:02 2021,6.829,6.458

Thu Jan 28 17:10:45 2021,6.829,6.462

Thu Jan 28 17:11:28 2021,6.829,6.459

Thu Jan 28 17:12:11 2021,6.830,6.458

Thu Jan 28 17:12:54 2021,6.830,6.458

Thu Jan 28 17:13:37 2021,6.833,6.462

Thu Jan 28 17:14:20 2021,6.832,6.462

Thu Jan 28 17:15:02 2021,6.831,6.461

Thu Jan 28 17:15:45 2021,6.830,6.462

Thu Jan 28 17:16:28 2021,6.830,6.461

Thu Jan 28 17:17:11 2021,6.830,6.463

Thu Jan 28 17:17:54 2021,6.828,6.463

Thu Jan 28 17:18:37 2021,6.830,6.461

Thu Jan 28 17:19:20 2021,6.831,6.460

