date, s2, s1
Thu Jan 28 16:50:26 2021,6.390,6.111

Thu Jan 28 16:51:09 2021,6.393,6.112

Thu Jan 28 16:51:52 2021,6.394,6.114

Thu Jan 28 16:52:35 2021,6.395,6.113

Thu Jan 28 16:53:18 2021,6.392,6.111

Thu Jan 28 16:54:01 2021,6.394,6.112

Thu Jan 28 16:54:44 2021,6.391,6.112

Thu Jan 28 16:55:27 2021,6.393,6.111

Thu Jan 28 16:56:10 2021,6.392,6.111

Thu Jan 28 16:56:53 2021,6.390,6.111

Thu Jan 28 16:57:36 2021,6.393,6.111

Thu Jan 28 16:58:19 2021,6.392,6.111

Thu Jan 28 16:59:02 2021,6.394,6.112

Thu Jan 28 16:59:45 2021,6.394,6.110

Thu Jan 28 17:00:28 2021,6.393,6.110

Thu Jan 28 17:01:11 2021,6.393,6.111

Thu Jan 28 17:01:54 2021,6.393,6.111

Thu Jan 28 17:02:37 2021,6.393,6.112

Thu Jan 28 17:03:20 2021,6.394,6.111

Thu Jan 28 17:04:03 2021,6.393,6.114

Thu Jan 28 17:04:46 2021,6.393,6.111

Thu Jan 28 17:05:29 2021,6.393,6.114

Thu Jan 28 17:06:12 2021,6.394,6.113

Thu Jan 28 17:06:55 2021,6.395,6.111

Thu Jan 28 17:07:38 2021,6.393,6.114

Thu Jan 28 17:08:21 2021,6.394,6.114

Thu Jan 28 17:09:04 2021,6.395,6.111

Thu Jan 28 17:09:47 2021,6.394,6.113

Thu Jan 28 17:10:30 2021,6.395,6.114

Thu Jan 28 17:11:13 2021,6.393,6.114

Thu Jan 28 17:11:56 2021,6.393,6.111

Thu Jan 28 17:12:39 2021,6.394,6.114

Thu Jan 28 17:13:22 2021,6.396,6.113

Thu Jan 28 17:14:05 2021,6.395,6.115

Thu Jan 28 17:14:48 2021,6.395,6.114

Thu Jan 28 17:15:31 2021,6.395,6.115

Thu Jan 28 17:16:14 2021,6.394,6.117

Thu Jan 28 17:16:57 2021,6.394,6.117

Thu Jan 28 17:17:40 2021,6.393,6.116

Thu Jan 28 17:18:23 2021,6.393,6.115

Thu Jan 28 17:19:06 2021,6.393,6.117

Thu Jan 28 17:19:49 2021,6.394,6.116

Thu Jan 28 17:20:32 2021,6.395,6.116

Thu Jan 28 17:21:15 2021,6.395,6.117

Thu Jan 28 17:21:58 2021,6.394,6.116

Thu Jan 28 17:22:41 2021,6.394,6.114

Thu Jan 28 17:23:24 2021,6.394,6.117

Thu Jan 28 17:24:07 2021,6.395,6.116

Thu Jan 28 17:24:50 2021,6.395,6.114

Thu Jan 28 17:25:33 2021,6.393,6.117

Thu Jan 28 17:26:16 2021,6.397,6.117

Thu Jan 28 17:26:59 2021,6.394,6.119

Thu Jan 28 17:27:42 2021,6.393,6.117

Thu Jan 28 17:28:25 2021,6.396,6.118

Thu Jan 28 17:29:08 2021,6.394,6.115

Thu Jan 28 17:29:51 2021,6.395,6.117

Thu Jan 28 17:30:34 2021,6.398,6.116

Thu Jan 28 17:31:17 2021,6.396,6.118

Thu Jan 28 17:32:00 2021,6.394,6.117

Thu Jan 28 17:32:43 2021,6.396,6.116

Thu Jan 28 17:33:26 2021,6.396,6.117

