date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Tue Feb  2 14:15:45 2021,7.177,7.106,7.320,7.323
Tue Feb  2 14:20:33 2021,7.178,7.107,7.322,7.328
Tue Feb  2 14:25:34 2021,7.178,7.109,7.322,7.327
Tue Feb  2 14:30:34 2021,7.178,7.110,7.321,7.323
Tue Feb  2 14:35:34 2021,7.181,7.109,7.321,7.318
Tue Feb  2 14:40:35 2021,7.182,7.109,7.321,7.326
Tue Feb  2 14:45:35 2021,7.185,7.111,7.320,7.336
Tue Feb  2 14:50:35 2021,7.182,7.113,7.323,7.329
Tue Feb  2 14:55:35 2021,7.182,7.114,7.324,7.320
Tue Feb  2 15:00:36 2021,7.183,7.113,7.322,7.323
Tue Feb  2 15:05:36 2021,7.183,7.110,7.323,7.319
Tue Feb  2 15:10:36 2021,7.186,7.113,7.323,7.322
Tue Feb  2 15:15:36 2021,7.185,7.115,7.323,7.323
Tue Feb  2 15:20:37 2021,7.189,7.115,7.325,7.320
Tue Feb  2 15:25:37 2021,7.191,7.116,7.326,7.323
Tue Feb  2 15:30:37 2021,7.191,7.117,7.327,7.329
Tue Feb  2 15:35:38 2021,7.192,7.118,7.326,7.326
Tue Feb  2 15:40:38 2021,7.192,7.118,7.327,7.328
Tue Feb  2 15:45:38 2021,7.191,7.116,7.329,7.324
Tue Feb  2 15:50:38 2021,7.193,7.120,7.334,7.322
Tue Feb  2 15:55:39 2021,7.195,7.119,7.331,7.326
Tue Feb  2 16:00:39 2021,7.194,7.119,7.333,7.324
Tue Feb  2 16:05:39 2021,7.194,7.121,7.332,7.330
Tue Feb  2 16:10:40 2021,7.198,7.123,7.332,7.323
Tue Feb  2 16:15:40 2021,7.198,7.124,7.331,7.335
Tue Feb  2 16:20:41 2021,7.200,7.125,7.333,7.329
Tue Feb  2 16:25:42 2021,7.199,7.124,7.334,7.329
Tue Feb  2 16:30:42 2021,7.199,7.126,7.334,7.329
Tue Feb  2 16:35:43 2021,7.200,7.126,7.331,7.333
Tue Feb  2 16:40:44 2021,97,7.126,7.332,7.331
Tue Feb  2 16:45:44 2021,7.198,7.125,7.331,7.332
Tue Feb  2 16:50:45 2021,7.202,7.128,7.334,7.334
Tue Feb  2 16:55:42 2021,7.203,7.131,7.332,7.335
Tue Feb  2 17:00:42 2021,7.203,7.130,7.334,7.334
Tue Feb  2 17:05:42 2021,7.203,7.130,7.335,7.337
Tue Feb  2 17:10:43 2021,7.203,7.129,7.334,7.337
Tue Feb  2 17:15:43 2021,7.204,7.131,7.336,7.337
Tue Feb  2 17:20:43 2021,7.204,7.133,7.336,7.332
Tue Feb  2 17:25:44 2021,7.205,7.135,7.337,7.336
Tue Feb  2 17:30:44 2021,7.206,7.135,7.339,7.339
Tue Feb  2 17:35:44 2021,7.207,7.136,7.336,7.333
Tue Feb  2 17:40:44 2021,7.206,7.135,7.338,7.338
Tue Feb  2 17:45:45 2021,7.208,7.138,7.338,7.336
Tue Feb  2 17:50:12 2021,7.206,7.135,7.339,7.340
Tue Feb  2 17:55:13 2021,7.209,7.137,7.340,7.344
Tue Feb  2 18:00:13 2021,7.208,7.137,7.340,7.348
Tue Feb  2 18:05:14 2021,7.210,7.136,7.339,7.345
Tue Feb  2 18:10:15 2021,7.210,7.140,7.340,7.341
Tue Feb  2 18:15:16 2021,7.208,7.140,7.340,7.346
Tue Feb  2 18:20:16 2021,7.212,7.140,7.341,7.342
Tue Feb  2 18:25:17 2021,7.215,7.142,7.340,7.350
Tue Feb  2 18:30:18 2021,7.216,7.144,7.341,7.342
Tue Feb  2 18:35:18 2021,7.214,7.143,7.341,7.349
